id;s1;s1Text;s2;s2Text;s3;s3Text
216;Outbreak;[Foes] Dark Resist-6% & [Allies] Critical Rate+6%;Outbreak+;[Foes] Dark Resist-8% & [Allies] Critical Rate+8%;Outbreak++;[Foes] Dark Resist-10% & [Allies] Critical Rate+10%
217;Edas Dance;[Self] Str. And Agi.+10% & [Foes] Dmg. Received (Attack Type: Single & All Target)+6%;Edas Dance+;[Self] Str. And Agi.+15% & [Foes] Dmg. Received (Attack Type: Single & All Target)+8%;Edas Dance++;[Self] Str. And Agi.+20% & [Foes] Dmg. Received (Attack Type: Single & All Target)+10%
218;End of the Queue;[Self] Str., Mag., P.Resist and M.Resist+6% & [Foes] Status Buff-1 turn;End of the Queue+;[Self] Str., Mag., P.Resist and M.Resist+8% & [Foes] Status Buff-2 turn;End of the Queue++;[Self] Str., Mag., P.Resist and M.Resist+10% & [Foes] Status Buff-3 turn
219;Onsen Prayer;[Foes] Mag.-10%;Onsen Prayer＋;[Foes] Mag.-15%;Onsen Prayer＋＋;[Foes] Mag.-20%
220;Mastery Lightning;[Foes] Thunder Resist-5% & [Allies] 5% HP Regen;Mastery Lightning+;[Foes] Thunder Resist-10% & [Allies] 10% HP Regen;Mastery Lightning++;[Foes] Thunder Resist-15% & [Allies] 15% HP Regen
221;Secrets of Trading;[Allies] Str. & Mag. & Agi. & Dex.+6% w/Stun Resist+50%;Secrets of Trading+;[Allies] Str. & Mag. & Agi. & Dex.+8% w/Stun Resist+75%;Secrets of Trading++;[Allies] Str. & Mag. & Agi. & Dex.+10% w/Stun Resist+100%
222;Pose of Diligence;[Allies] Taunt Resist & Stun Resist+50% w/End.+3%;Pose of Diligence+;[Allies] Taunt Resist & Stun Resist+75% w/End.+4%;Pose of Diligence++;[Allies] Taunt Resist & Stun Resist+100% w/End.+5%
223;Velvet Dress;[Allies] Dmg. received (Attack Type: All and Single Targets)-5% and Fire Resist+10% and [Self] +1 Instant Effect (When attacked, Water Attack Dmg.+40%/1 turn on Allies, once per turn);Velvet Dress+;[Allies] Dmg. received (Attack Type: All and Single Targets)-10% and Fire Resist+15% and [Self] +2 Instant Effect (When attacked, Water Attack Dmg.+40%/1 turn on Allies, once per turn);Velvet Dress++;[Allies] Dmg. received (Attack Type: All and Single Targets)-15% and Fire Resist+20% and [Self] +3 Instant Effect (When attacked, Water Attack Dmg.+40%/1 turn on Allies, once per turn)
224;Chivalry's Lesson;Counter Rate+9%;Chivalry's Lesson+;Counter Rate+12%;Chivalry's Lesson++;Counter Rate+15%
225;Child of the MediGod;[Allies] 6% HP Regen;Child of the MediGod+;[Allies] 8% HP Regen;Child of the MediGod++;[Allies] 10% HP Regen
226;Cyan Drop;[Allies] 10% HP Regen & Heal and Counter Rate+6%;Cyan Drop+;[Allies] 15% HP Regen & Heal and Counter Rate+8%;Cyan Drop++;[Allies] 20% HP Regen & Heal and Counter Rate+10%
227;Ghost's Guidance;[Allies] Mag.+10% w/Dark & Earth Attack Damage+5%;Ghost's Guidance+;[Allies] Mag.+15% w/Dark & Earth Attack Damage+10%;Ghost's Guidance++;[Allies] Mag.+20% w/Dark & Earth Attack Damage+15%
228;Head-Turner;[Foes] Critical Rate-6% & [Allies] Counter Rate+10%;Head-Turner+;[Foes] Critical Rate-8% & [Allies] Counter Rate+15%;Head-Turner++;[Foes] Critical Rate-10% & [Allies] Counter Rate+20%
229;Flame of Hope;Str.+5%;Flame of Hope+;Str.+10%;Flame of Hope++;Str.+15%
230;Aid of Divine Fire;Str.+10%;Aid of Divine Fire+;Str.+15%;Aid of Divine Fire++;Str.+20%
231;Maiden's Protection;Str.+20%;Maiden's Protection+;Str.+25%;Maiden's Protection++;Str.+30%
232;My Heart To You;Dex.+9%;My Heart To You+;Dex.+12%;My Heart To You++;Dex.+15%
233;Hilarious Service;[Allies] Str.+5%;Hilarious Service+;[Allies] Str.+10%;Hilarious Service++;[Allies] Str.+15%
234;Bouncing Blessing;[Foes] Str.-10%;Bouncing Blessing+;[Foes] Str.-15%;Bouncing Blessing++;[Foes] Str.-20%
235;Dazzling Wish;[Allies] 1MP Regen;Dazzling Wish+;[Allies] 3MP Regen;Dazzling Wish++;[Allies] 5MP Regen
236;Mummy Guidance;[Foes] Dex.-6% & [Allies] Counter Rate+5%;Mummy Guidance+;[Foes] Dex.-8% & [Allies] Counter Rate+10%;Mummy Guidance++;[Foes] Dex.-10% & [Allies] Counter Rate+15%
237;God's Present;[Foes] Str. & Counter Rate-5%;God's Present+;[Foes] Str. & Counter Rate-10%;God's Present++;[Foes] Str. & Counter Rate-15%
238;Rise and Shine;[Allies] Sleep Resist+50% & [Foes] M.Resist-10%;Rise and Shine+;[Allies] Sleep Resist+75% & [Foes] M.Resist-12%;Rise and Shine++;[Allies] Sleep Resist+100% & [Foes] M.Resist-15%
239;Candy-Coated;[Foes] Mag.-5% & Heal-6%;Candy-Coated+;[Foes] Mag.-10% & Heal-8%;Candy-Coated++;[Foes] Mag.-15% & Heal-10%
240;Onsen Effect;[Foes] Str.-10%;Onsen Effect＋;[Foes] Str.-15%;Onsen Effect＋＋;[Foes] Str.-20%
241;Uncontrollable God;Dex.+9%;Uncontrollable God＋;Dex.+12%;Uncontrollable God＋＋;Dex.+15%
242;Sparkling Smile;[Allies] P.Resist & Guard Rate+6%;Sparkling Smile+;[Allies] P.Resist & Guard Rate+8%;Sparkling Smile++;[Allies] P.Resist & Guard Rate+10%
243;Lucky Tour;[Allies] Stun Resist+50% & [Foes] End.-4%;Lucky Tour+;[Allies] Stun Resist+75% & [Foes] End.-6%;Lucky Tour++;[Allies] Stun Resist+100% & [Foes] End.-8%
244;Goddess's Prayer;[Self] Null Ailments x1 w/Dex. & End+5%;Goddess's Prayer+;[Allies] Null Ailments x1 & Dex. and End.+10%;Goddess's Prayer++;[Allies] Null Ailments x2 & Dex. and End.+15%
245;Summer Holiday!;[Foes] 30% Slow & [Allies] Critical Rate+6%;Summer Holiday! +;[Foes] 60% Slow & [Allies] Critical Rate+8%;Summer Holiday! ++;[Foes] 90% Slow & [Allies] Critical Rate+10%
246;Happiness Fever;[Allies] 10% HP Regen;Happiness Fever+;[Allies] 14% HP Regen;Happiness Fever++;[Allies] 18% HP Regen
247;Gold Fever;[Allies] 10% HP Regen;Gold Fever+;[Allies] 14% HP Regen;Gold Fever++;[Allies] 18% HP Regen
248;Gentle Phantom Beast?;[Allies] Mag. & Fire Attack Damage & Wind Attack Damage+5%;Phantom Beast?+;[Allies] Mag. & Fire Attack Damage & Wind Attack Damage+10%;Phantom Beast?++;[Allies] Mag. & Fire Attack Damage & Wind Attack Damage+15%
249;Mysterious Bonfire;[Foes] Dmg. received (Attack Type: All Targets) +5% & [Allies] Agi.+6%;Mysterious Bonfire+;[Foes] Dmg. received (Attack Type: All Targets) +10% & [Allies] Agi.+8%;Mysterious Bonfire++;[Foes] Dmg. received (Attack Type: All Targets) +15% & [Allies] Agi.+10%
250;Chocolate is War;[Foes] Counter Rate-5% & [Allies] M.Resist+5%;Chocolate is War+;[Foes] Counter Rate-10% & [Allies] M.Resist+10%;Chocolate is War++;[Foes] Counter Rate-15% & [Allies] M.Resist+15%
251;Eternal Agape;[Foes] Dmg. received (Attack Type: Single Target) +5% & [Allies] Dex.+10%;Eternal Agape+;[Foes] Dmg. received (Attack Type: Single Target) +10% & [Allies] Dex.+15%;Eternal Agape++;[Foes] Dmg. received (Attack Type: Single Target) +15% & [Allies] Dex.+20%
252;Date with Bell;[Foes] Agi.-6% & P.Resist-5%;Date with Bell+;[Foes] Agi.-8% & P.Resist-10%;Date with Bell++;[Foes] Agi.-10% & P.Resist-15%
253;Yearly Revival;[Allies] Str.+6%;Yearly Revival+;[Allies] Str.+8%;Yearly Revival++;[Allies] Str.+10%
254;Old Times;[Foes] 15% Sleep & Thunder Resist-5%;Old Times+;[Foes] 30% Sleep & Thunder Resist-10%;Old Times++;[Foes] 45% Sleep & Thunder Resist-15%
255;Day of the Dream;[Allies] Mag.+10% & Critical Rate & Penetration Rate+6%;Day of the Dream+;[Allies] Mag.+15% & Critical Rate & Penetration Rate+8%;Day of the Dream++;[Allies] Mag.+20% & Critical Rate & Penetration Rate+10%
256;With A Secret Map;[Foes] P.Resist & M.Resist-6%;With A Secret Map+;[Foes] P.Resist & M.Resist-8%;With A Secret Map++;[Foes] P.Resist & M.Resist-10%
257;Special Dress;[Allies] Fire, Water, Thunder, Earth, Wind, Light and Dark Resist & Guard Rate+5%;Special Dress+;[Allies] Fire, Water, Thunder, Earth, Wind, Light and Dark Resist & Guard Rate+10%;Special Dress++;[Allies] Fire, Water, Thunder, Earth, Wind, Light and Dark Resist & Guard Rate+15%
258;Self-Wrap;[Allies] Water and Earth Attack Dmg.+6% & Guard Rate and Counter Rate+4%;Self-Wrap+;[Allies] Water and Earth Attack Dmg.+8% & Guard Rate and Counter Rate+6%;Self-Wrap++;[Allies] Water and Earth Attack Dmg.+10% & Guard Rate and Counter Rate+8%
259;Jester's Policy;M.Resist+6%;Jester's Policy+;M.Resist+8%;Jester's Policy++;M.Resist+10%
260;Tonight, we feast!;M.Resist+9%;Tonight, we feast!+;M.Resist+12%;Tonight, we feast!++;M.Resist+15%
261;The Masked Grin;[Foes] M.Resist-9%;The Masked Grin+;[Foes] M.Resist-12%;The Masked Grin++;[Foes] M.Resist-15%
262;Say What?!;Penetration Rate+15%;Say What?!+;Penetration Rate+25%;Say What?!++;Penetration Rate+35%
263;Trickster's Skills;[Allies] M.Resist+9%;Trickster's Skills+;[Allies] M.Resist+12%;Trickster's Skills++;[Allies] M.Resist+15%
264;Just for Fun;[Allies] Seal Resist+50% & [Foes] End.-4%;Just for Fun+;[Allies] Seal Resist+75% & [Foes] End.-6%;Just for Fun++;[Allies] Seal Resist+100% & [Foes] End.-8%
265;Amusing Agitation;[Allies] Critical Rate+5% & Penetration Rate+6%;Amusing Agitation+;[Allies] Critical Rate+10% & Penetration Rate+8%;Amusing Agitation++;[Allies] Critical Rate+15% & Penetration Rate+10%
266;My time, finally!;[Allies] Mag.+6%;My time, finally!+;[Allies] Mag.+8%;My time, finally!++;[Allies] Mag.+10%
267;Fertility's Gift;End.+3%;Fertility's Gift+;End.+4%;Fertility's Gift++;End.+5%
268;Hearty Lunch Box;End.+6%;Hearty Lunch Box+;End.+8%;Hearty Lunch Box++;End.+10%
269;Heartful Smile;Mag.+20%;Heartful Smile+;Mag.+25%;Heartful Smile++;Mag.+30%
270;Innocent Blessing;[Allies] End.+10%;Innocent Blessing+;[Allies] End.+15%;Innocent Blessing++;[Allies] End.+20%
271;Devilish Spur;[Foes] Mag.-10%;Devilish Spur+;[Foes] Mag.-15%;Devilish Spur++;[Foes] Mag.-20%
272;Angelic Fertility;[Foes] Counter Rate-6% & [Allies] Mag.+5%;Angelic Fertility+;[Foes] Counter Rate-8% & [Allies] Mag.+10%;Angelic Fertility++;[Foes] Counter Rate-10% & [Allies] Mag.+15%
273;Snow Gift;[Allies] Mag.+5% & [Foes] Water Resist-5%;Snow Gift+;[Allies] Mag.+10% & [Foes] Water Resist-10%;Snow Gift++;[Allies] Mag.+15% & [Foes] Water Resist-15%
274;Chocomint Fertility;[Allies] Mag.+5% & [Foes] Fire Resist-5%;Chocomint Fertility+;[Allies] Mag.+10% & [Foes] Fire Resist-10%;Chocomint Fertility++;[Allies] Mag.+15% & [Foes] Fire Resist-15%
275;Sleight of Hands;[Self] Increase S.A Gauge Charge gain by 33%;Sleight of Hands+;[Self] Increase S.A Gauge Charge gain by 66%;Sleight of Hands++;[Self] Increase S.A Gauge Charge gain by 100%
276;Promised Road Home;[Allies] Slow Resist & Seal Resist+50% w/End.+3%;Promised Road Home+;[Allies] Slow Resist & Seal Resist+75% w/End.+4%;Promised Road Home++;[Allies] Slow Resist & Seal Resist+100% w/End.+5%
277;Heavy Promise;[Foes] Str., Mag., Water Resist, & Dark Resist-6% and [Allies] Water Attack Dmg. & Dark Attack Dmg.+5%;Heavy Promise+;[Foes] Str., Mag., Water Resist, & Dark Resist-8% and [Allies] Water Attack Dmg. & Dark Attack Dmg.+10%;Heavy Promise++;[Foes] Str., Mag., Water Resist, & Dark Resist-10% and [Allies] Water Attack Dmg. & Dark Attack Dmg.+15%
278;Advice;Critical Rate+10%;Advice+;Critical Rate+15%;Advice++;Critical Rate+20%
279;Guild's Advice;Critical Rate+15%;Guild's Advice+;Critical Rate+25%;Guild's Advice++;Critical Rate+35%
280;Theory Library;[Foes] Guard Rate-10%;Theory Library+;[Foes] Guard Rate-15%;Theory Library++;[Foes] Guard Rate-20%
281;Small Devotion;[Allies] Critical Rate+10%;Small Devotion+;[Allies] Critical Rate+15%;Small Devotion++;[Allies] Critical Rate+20%
282;Welcome!;[Allies] 5MP Regen;Welcome!+;[Allies] 7MP Regen;Welcome!++;[Allies] 10MP Regen
283;Elven Investigation;[Self] Critical Rate+15%;Elven Investigation+;[Self] Critical Rate+25%;Elven Investigation++;[Self] Critical Rate+35%
284;Blessing Carols;[Allies] P.Resist+6% & [Foes] Critical Rate-5%;Blessing Carols+;[Allies] P.Resist+8% & [Foes] Critical Rate-10%;Blessing Carols++;[Allies] P.Resist+10% & [Foes] Critical Rate-15%
285;Song of Honor;[Self] Null M.Attack x1;Song of Honor+;[Allies] Null M.Attack x1;Song of Honor++;[Allies] Null M.Attack x2
286;Summer Fling;[Foes] Water Resist-5%;Summer Fling+;[Foes] Water Resist-10%;Summer Fling++;[Foes] Water Resist-15%
287;Chocolate Advice;[Foes] Light & Earth Resist-5% & [Allies] Light & Earth Attack Damage+5%;Chocolate Advice+;[Foes] Light & Earth Resist-7% & [Allies] Light & Earth Attack Damage+10%;Chocolate Advice++;[Foes] Light & Earth Resist-10% & [Allies] Light & Earth Attack Damage+15%
288;Sanctuary Prayer;[Allies] Dmg. received (Attack Type: All Targets)-6% & P.Resist+5%;Sanctuary Prayer+;[Allies] Dmg. received (Attack Type: All Targets)-8% & P.Resist+10%;Sanctuary Prayer++;[Allies] Dmg. received (Attack Type: All Targets)-10% & P.Resist+15%
289;Elitist;[Foes] Str., Mag., Counter Rate, Heal, & M.Resist-5%;Elitist+;[Foes] Str., Mag., Counter Rate, Heal, & M.Resist-10%;Elitist++;[Foes] Str., Mag., Counter Rate, Heal, & M.Resist-15%
290;Steel Guard;P.Resist+6%;Steel Guard+;P.Resist+8%;Steel Guard++;P.Resist+10%
291;Melody of Steel;P.Resist+9%;Melody of Steel+;P.Resist+12%;Melody of Steel++;P.Resist+15%
292;Forge God's Refine;[Foes] P.Resist-9%;Forge God's Refine+;[Foes] P.Resist-12%;Forge God's Refine++;[Foes] P.Resist-15%
293;Wrought Iron;[Allies] P.Resist+9%;Wrought Iron+;[Allies] P.Resist+12%;Wrought Iron++;[Allies] P.Resist+15%
294;Thunder Steel;[Foes] P.Resist-5% & Guard Rate-6%;Thunder Steel+;[Foes] P.Resist-10% & Guard Rate-8%;Thunder Steel++;[Foes] P.Resist-15% & Guard Rate-10%
295;In The Shadows;Mag.+10%;In The Shadows+;Mag.+15%;In The Shadows++;Mag.+20%
296;Mad Love;[Foes] End.-6%;Mad Love+;[Foes] End.-8%;Mad Love++;[Foes] End.-10%
297;Rampant Compassion;Mag.+20%;Rampant Compassion+;Mag.+25%;Rampant Compassion++;Mag.+30%
298;Wicked Temptation;[Allies] Mag.+5% & Agi.+6%;Wicked Temptation+;[Allies] Mag.+10% & Agi.+8%;Wicked Temptation++;[Allies] Mag.+15% & Agi.+10%
299;Ceremonial Sensation;[Allies] Mag.+5% & [Foes] Light Resist-5%;Ceremonial Sensation+;[Allies] Mag.+10% & [Foes] Light Resist-10%;Ceremonial Sensation++;[Allies] Mag.+15% & [Foes] Light Resist-15%
300;Queen's Nightgown;[Allies] Sleep Resist+50% & [Foes] End.-4%;Queen's Nightgown+;[Allies] Sleep Resist+75% & [Foes] End.-6%;Queen's Nightgown++;[Allies] Sleep Resist+100% & [Foes] End.-8%
301;Regina Coeli;[Allies] Charm Resist+50% & [Foes] End.-4%;Regina Coeli+;[Allies] Charm Resist+75% & [Foes] End.-6%;Regina Coeli++;[Allies] Charm Resist+100% & [Foes] End.-8%
302;Beauty Worship;[Allies] Dmg. received (Attack Type: All Targets) -6% & Mag.+5%;Beauty Worship+;[Allies] Dmg. received (Attack Type: All Targets) -8% & Mag.+10%;Beauty Worship++;[Allies] Dmg. received (Attack Type: All Targets) -10% & Mag.+15%
303;Longing Gaze;[Allies] Water Attack Dmg. & Penetration Rate+6%;Longing Gaze+;[Allies] Water Attack Dmg. & Penetration Rate+8%;Longing Gaze++;[Allies] Water Attack Dmg. & Penetration Rate+10%
304;I am Ganesha!;[Foes] Str.-3%;I am Ganesha!+;[Foes] Str.-4%;I am Ganesha!++;[Foes] Str.-5%
305;Grand Order;[Foes] Str.-6%;Grand Order+;[Foes] Str.-8%;Grand Order++;[Foes] Str.-10%
306;Cry of a God;[Allies] Taunt Resist+50%;Cry of a God+;[Allies] Taunt Resist+75%;Cry of a God++;[Allies] Taunt Resist+100%
307;Maharaja's Rule;[Allies] Taunt Resist+50% &  [Foes] End.-4%;Maharaja's Rule+;[Allies] Taunt Resist+75% &  [Foes] End.-6%;Maharaja's Rule++;[Allies] Taunt Resist+100% &  [Foes] End.-8%
308;Harvest's Grace;Guard Rate+10%;Harvest's Grace+;Guard Rate+15%;Harvest's Grace++;Guard Rate+20%
309;Mother Bounty;Guard Rate+15%;Mother Bounty+;Guard Rate+25%;Mother Bounty++;Guard Rate+35%
310;Gentle Gaze;[Foes] M.Resist-5% & Guard Rate-6%;Gentle Gaze+;[Foes] M.Resist-10% & Guard Rate-8%;Gentle Gaze++;[Foes] M.Resist-15% & Guard Rate-10%
311;Harvest Swimsuit;[Foes] Critical Rate and M.Resist-10% & [Self] Critical Rate+6%;Harvest Swimsuit+;[Foes] Critical Rate and M.Resist-15% & [Self] Critical Rate+8%;Harvest Swimsuit++;[Foes] Critical Rate and M.Resist-20% & [Self] Critical Rate+10%
312;Fertility's Cheer;End.+3%;Fertility's Cheer+;End.+4%;Fertility's Cheer++;End.+5%
313;Straighten Up!;End.+6%;Straighten Up!+;End.+8%;Straighten Up!++;End.+10%
314;Cat's Aid;[Allies] Seal Resist+40%;Cat's Aid+;[Allies] Seal Resist+60%;Cat's Aid++;[Allies] Seal Resist+80%
315;Cheerful Support;[Allies] Seal Resist+50%;Cheerful Support+;[Allies] Seal Resist+75%;Cheerful Support++;[Allies] Seal Resist +100%
316;By Instinct;[Foes] P.Resist-10%;By Instinct+;[Foes] P.Resist-15%;By Instinct++;[Foes] P.Resist-20%
317;Secret Potion;[Foes] Max HP 2% Dmg. Poison;Secret Potion+;[Foes] Max HP 4% Dmg. Poison;Secret Potion++;[Foes] Max HP 6% Dmg. Poison
318;Medi-God's Grace;[Foes] Max HP 3% Dmg. Poison;Medi-God's Grace+;[Foes] Max HP 5% Dmg. Poison;Medi-God's Grace++;[Foes] Max HP 7% Dmg. Poison
319;God's Medicine;[Allies] 6% HP Regen;God's Medicine+;[Allies] 8% HP Regen;God's Medicine++;[Allies] 10% HP Regen
320;Travel God's Grace;[Allies] Sleep Resist+40%;Travel God's Grace+;[Allies] Sleep Resist+60%;Travel God's Grace++;[Allies] Sleep Resist+80%
321;Secret Intuition;[Allies] Sleep Resist+50%;Secret Intuition+;[Allies] Sleep Resist+75%;Secret Intuition++;[Allies] Sleep Resist +100%
322;Smooth Talk;[Foes] M.Resist-10%;Smooth Talk+;[Foes] M.Resist-15%;Smooth Talk++;[Foes] M.Resist-20%
323;Top Producer;[Allies] Fire Attack Dmg., Light Attack Dmg. and Critical Rate+6%;Top Producer+;[Allies] Fire Attack Dmg., Light Attack Dmg. and Critical Rate+8%;Top Producer++;[Allies] Fire Attack Dmg., Light Attack Dmg. and Critical Rate+10%
324;Crucial Hint;[Allies] Stun Resist+40%;Crucial Hint+;[Allies] Stun Resist+60%;Crucial Hint++;[Allies] Stun Resist+80%
325;Rumor Hunter;[Allies] Stun Resist+50%;Rumor Hunter+;[Allies] Stun Resist+75%;Rumor Hunter++;[Allies] Stun Resist +100%
326;Happy Vacation;[Allies] Slow Resist+50% & Agi.+6%;Happy Vacation+;[Allies] Slow Resist+75% & Agi.+8%;Happy Vacation++;[Allies] Slow Resist+100% & Agi.+10%
327;War God's Grace;[Foes] P.Resist-3%;War God's Grace+;[Foes] P.Resist-4%;War God's Grace++;[Foes] P.Resist-5%
328;War Rampage;[Foes] Counter Rate-6%;War Rampage+;[Foes] Counter Rate-8%;War Rampage++;[Foes] Counter Rate-10%
329;Snow in Hand;[Self] Ailment Resist+50% & Str., End., Agi. and Dex.+10%;Snow in Hand+;[Self] Ailment Resist+75% & Str., End., Agi. and Dex.+15%;Snow in Hand++;[Self] Ailment Resist+100% & Str., End., Agi. and Dex.+20%
330;Killer's Trickery;[Foes] Guard Rate-5%;Killer's Trickery+;[Foes] Guard Rate-10%;Killer's Trickery++;[Foes] Guard Rate-15%
331;Black Cat Inspection;[Self] Null P.Attack x1;Black Cat Inspection+;[Allies] Null P.Attack x1;Black Cat Inspection++;[Allies] Null P.Attack x2
332;Cleaning Skills;[Foes] Critical Rate-5%;Cleaning Skills+;[Foes] Critical Rate-10%;Cleaning Skills++;[Foes] Critical Rate-15%
333;Service Skills;[Self] Dex.+9%;Service Skills+;[Self] Dex.+12%;Service Skills++;[Self] Dex.+15%
334;Drinks of Orario;[Foes] 25% Stun x2 Chances;Drinks of Orario+;[Foes] 35% Stun x2 Chances;Drinks of Orario++;[Foes] 45% Stun x2 Chances
335;Nurse's Healing;[Allies] 10% HP Regen;Nurse's Healing+;[Allies] 15% HP Regen;Nurse's Healing++;[Allies] 20% HP Regen
336;Scholar Mind Trick;[Allies] Poison Resist+50%;Scholar Mind Trick+;[Allies] Poison Resist+75%;Scholar Mind Trick++;[Allies] Poison Resist+100%
337;Sweet Smile;[Allies] Charm Resist+50%;Sweet Smile+;[Allies] Charm Resist+75%;Sweet Smile++;[Allies] Charm Resist +100%
338;Grace of Cups;[Foes] 20% Sleep;Grace of Cups+;[Foes] 25% Sleep;Grace of Cups++;[Foes] 30% Sleep
339;Winding Intoxication;[Foes] Max HP 6% Dmg. Poison & Heal-15%;Winding Intoxication+;[Foes] Max HP 8% Dmg. Poison & Heal-20%;Winding Intoxication++;[Foes] Max HP 10% Dmg. Poison & Heal-25%
340;Cunning Advice;P.Resist+6%;Cunning Advice+;P.Resist+8%;Cunning Advice++;P.Resist+10%
341;Smith God's Eye;[Foes] Critical Rate-10%;Smith God's Eye+;[Foes] Critical Rate-15%;Smith God's Eye++;[Foes] Critical Rate-20%
342;Giant's Prayer;[Foes] End.-9%;Giant's Prayer+;[Foes] End.-12%;Giant's Prayer++;[Foes] End.-15%
343;My name is Alf!;[Allies] Str. & Mag.+5% and Fire, Water, Thunder, Earth, Wind, Light, & Dark Resist+5%;My name is Alf!+;[Allies] Str. & Mag.+10% and Fire, Water, Thunder, Earth, Wind, Light, & Dark Resist+8%;My name is Alf!++;[Allies] Str. & Mag.+15% and Fire, Water, Thunder, Earth, Wind, Light, & Dark Resist+10%
344;Cutie Canon;[Allies] Stun & Poison Resist+50% and [Foes] M.Resist-10%;Cutie Canon+;[Allies] Stun & Poison Resist+75% and [Foes] M.Resist-12%;Cutie Canon++;[Allies] Stun & Poison Resist+100% and [Foes] M.Resist-15%
345;Child Blacksmith's Crafting;[Allies] Poison Resist & Sleep Resist+50% w/P.Resist+7%;Child Blacksmith's Crafting＋;[Allies] Poison Resist & Sleep Resist+75% w/P.Resist+10%;Child Blacksmith's Crafting＋＋;[Allies] Poison Resist & Sleep Resist+100% w/P.Resist+15%
346;Help of Child God;[Foes] 15% Stun and M.Resist & Dex.-7%;Help of Child God＋;[Foes] 30% Stun and M.Resist & Dex.-10%;Help of Child God＋＋;[Foes] 45% Stun and M.Resist & Dex.-15%
347;Thank Me, Peasants!;[Self] Ailment Resist+20%;Thank Me, Peasants!+;[Self] Ailment Resist+40%;Thank Me, Peasants!++;[Self] Ailment Resist+60%
348;Holy Bowstring;[Self] Str. and M.Resist+10% & [Allies] Str.+5% (effect does not apply to [Self]);Holy Bowstring+;[Self] Str. and M.Resist+15% & [Allies] Str.+10% (effect does not apply to [Self]);Holy Bowstring++;[Self] Str. and M.Resist+20% & [Allies] Str.+15% (effect does not apply to [Self])
349;Until the Sunrise;[Allies] Sleep Resist & Taunt Resist+50% w/End.+3%;Until the Sunrise+;[Allies] Sleep Resist & Taunt Resist+75% w/End.+4%;Until the Sunrise++;[Allies] Sleep Resist & Taunt Resist+100% w/End.+5%
350;Vow of Sacrifice;[Foes] Str. & End.-10% and [Allies] Null Ailment x1;Vow of Sacrifice+;[Foes] Str. & End.-15% and [Allies] Null Ailment x2;Vow of Sacrifice++;[Foes] Str. & End.-20% and [Allies] Null Ailment x3
351;Tale Continues;[Foes] Mag. & End.-10% and [Allies] Null Ailment x1;Tale Continues+;[Foes] Mag. & End.-15% and [Allies] Null Ailment x2;Tale Continues++;[Foes] Mag. & End.-20% and [Allies] Null Ailment x3
352;Misfortune Teller;[Foes] P.Resist & M.Resist-10% and [Self] Counter Rate & Guard Rate+10%;Misfortune Teller+;[Foes] P.Resist & M.Resist-15% and [Self] Counter Rate & Guard Rate+20%;Misfortune Teller++;[Foes] P.Resist & M.Resist-20% and [Self] Counter Rate & Guard Rate+30%
353;Nomadic Poetry;[Foes] Dmg. received (Attack Type: All and Single Targets)+5% & Guard Rate-10%;Nomadic Poetry+;[Foes] Dmg. received (Attack Type: All and Single Targets)+10% & Guard Rate-20%;Nomadic Poetry++;[Foes] Dmg. received (Attack Type: All and Single Targets)+15% & Guard Rate-30%
354;Power of Light;[Foes] Fire and Light Resist-5% & [Allies] Str.+5%;Power of Light+;[Foes] Fire and Light Resist-10% & [Allies] Str.+10%;Power of Light++;[Foes] Fire and Light Resist-15% & [Allies] Str.+15%
