id;s1;s1Text;s2;s2Text;s3;s3Text
585;Nothing More Than a God With a Pretty Face;[Foes] Thunder & Earth Resist-6% and [Allies] Thunder & Earth Attack Dmg.+6%;Nothing More Than a God with a Pretty Face+;[Foes] Thunder & Earth Resist-8% and [Allies] Thunder & Earth Attack Dmg.+8%;Nothing More Than a God with a Pretty Face++;[Foes] Thunder & Earth Resist-10% and [Allies] Thunder & Earth Attack Dmg.+10%
586;Intercepting Fist;[Allies] Str. & Dex.+10% and [Foes] Wind Resist-10%;Intercepting Fist+;[Allies] Str. & Dex.+15% and [Foes] Wind Resist-15%;Intercepting Fist++;[Allies] Str. & Dex.+20% and [Foes] Wind Resist-20%
587;Intercepting Kick;[Foes] P.Resist-10% and [Self] +2 Instant Effect (When attacked, Lo Earth P.Attack a Foe, up to twice per turn);Intercepting Kick+;[Foes] P.Resist-15% and [Self] +3 Instant Effect (When attacked, Lo Earth P.Attack a Foe, up to twice per turn);Intercepting Kick++;[Foes] P.Resist-20% and [Self] +4 Instant Effect (When attacked, Lo Earth P.Attack a Foe, up to twice per turn)
593;A Sword-wielding Savior?;[Foes] Fire Resist-10% & [Allies] Critical Rate & Counter Rate+10%;A Sword-wielding Savior?+;[Foes] Fire Resist-15% & [Allies] Critical Rate & Counter Rate+15%;A Sword-wielding Savior?++;[Foes] Fire Resist-20% & [Allies] Critical Rate & Counter Rate+20%
594;Maiden Resolution;[Allies] P.Resist & Guard Rate+10% & 10% HP Regen/turn and [Self] Agi.+10% & 20 MP Regen/turn;Maiden Resolution+;[Allies] P.Resist & Guard Rate+15% & 20% HP Regen/turn and [Self] Agi.+15% & 30 MP Regen/turn;Maiden Resolution++;[Allies] P.Resist & Guard Rate+20% & 30% HP Regen/turn and [Self] Agi.+20% & 40 MP Regen/turn
599;Magical Horsey;[Allies] Penetration Rate, Water Attack Dmg. & Fire Attack Dmg.+10%;Magical Horsey+;[Allies] Penetration Rate, Water Attack Dmg. & Fire Attack Dmg.+15%;Magical Horsey++;[Allies] Penetration Rate, Water Attack Dmg. & Fire Attack Dmg.+20%
600;L-AiZ Saint;[Foes] Str. & Mag.-10% and [Allies] Sleep Resist & Seal Resist+50%;L-AiZ Saint+;[Foes] Str. & Mag.-17% and [Allies] Sleep Resist & Seal Resist+75%;L-AiZ Saint++;[Foes] Str. & Mag.-25% and [Allies] Sleep Resist & Seal Resist+100%
603;Veltane Traumerei;[Foes] P.Resist & M.Resist-10% & Heal-20% and [Self] +2 Instant Effect (When attacked, Max HP 40% Dmg. Poison & Str., Mag., & Heal-40%/1 turn on Foes, once per turn);Veltane Traumerei+;[Foes] P.Resist & M.Resist-15% & Heal-30% and [Self] +3 Instant Effect (When attacked, Max HP 40% Dmg. Poison & Str., Mag., & Heal-40%/1 turn on Foes, once per turn);Veltane Traumerei++;[Foes] P.Resist & M.Resist-20% & Heal-40% and [Self] +4 Instant Effect (When attacked, Max HP 40% Dmg. Poison & Str., Mag., & Heal-40%/1 turn on Foes, once per turn)
604;Unfeigned Divine Word;[Foes] Status Buff-1 turn and [Self] Null P.Attack x1;Unfeigned Divine Word+;[Foes] Status Buff-2 turns and [Self] Null P.Attack x1;Unfeigned Divine Word++;[Foes] Status Buff-3 turns and [Self] Null P.Attack x2
608;Affection on the Sand;[Self] Mag. & Agi.+10% and [Allies] Agi.+5% and Charm Resist+50%;Affection on the Sand+;[Self] Mag. & Agi.+15% and [Allies] Agi.+10% and Charm Resist+75%;Affection on the Sand++;[Self] Mag. & Agi.+20% and [Allies] Agi.+15% and Charm Resist+100%
611;Oath of Royalty;[Allies] Increase S.A Gauge Charge gain by 11% and Critical Rate & Counter Rate+5% and 10 MP Regen/turn;Oath of Royalty+;[Allies] Increase S.A Gauge Charge gain by 22% and Critical Rate & Counter Rate+10% and 15 MP Regen/turn;Oath of Royalty++;[Allies] Increase S.A Gauge Charge gain by 33% and Critical Rate & Counter Rate+15% and 20 MP Regen/turn
613;Dragon Girl's Prayer;[Self] Str., P.Resist, M.Resist, Light and Dark Attack Dmg.+10%;Dragon Girl's Prayer+;[Self] Str.+17% & P.Resist, M.Resist, Light and Dark Attack Dmg.+15%;Dragon Girl's Prayer++;[Self] Str.+25% & P.Resist, M.Resist, Light and Dark Attack Dmg.+20%
620;Drawing from the Heart!;[Allies] Dmg. received (Attack Type: All and Single Targets)-5%;Drawing from the Heart!+;[Allies] Dmg. received (Attack Type: All and Single Targets)-10%;Drawing from the Heart!++;[Allies] Dmg. received (Attack Type: All and Single Targets)-15%
621;Super Assistant's Job;[Allies] Mag. & Dex.+10% & Slow Resist+50% and [Self] +1 Instant Effect (When physically attacked, [Allies] P.Resist+40%/2 turns, once per turn);Super Assistant's Job+;[Allies] Mag. & Dex.+15% & Slow Resist+75% and [Self] +2 Instant Effect (When attacked, P.Resist+40%/2 turns on Allies, once per turn);Super Assistant's Job++;[Allies] Mag. & Dex.+20% & Slow Resist+100% and [Self] +3 Instant Effect (When physically attacked, [Allies] P.Resist+40%/2 turns, once per turn)
622;Creation is an Explosion!;[Foes] P.Resist & M.Resist Buffs-2 turns and [Self] Status Ailment Resist+50% & Agi.+10%;Creation is an Explosion!+;[Foes] P.Resist & M.Resist Buffs-4 turns and [Self] Status Ailment Resist+75% & Agi.+15%;Creation is an Explosion!++;[Foes] P.Resist & M.Resist Buffs-6 turns and [Self] Status Ailment Resist+100% & Agi.+20%
623;Guiding Oath;[Foes] Str., Mag., & Agi.-5% and [Self] Agi.+10% and +1 Instant Effect (When attacked, Penetration Rate and Counter Rate+40%/1 turn on Allies, once per turn);Guiding Oath+;[Foes] Str., Mag., & Agi.-10% and [Self] Agi.+15% and +2 Instant Effect (When attacked, Penetration Rate and Counter Rate+40%/1 turn on Allies, once per turn);Guiding Oath++;[Foes] Str., Mag., & Agi.-15% and [Self] Agi.+20% and +3 Instant Effect (When attacked, Penetration Rate and Counter Rate+40%/1 turn on Allies, once per turn)
624;Storyteller's Ballad;[Allies] Null P.Attack and M.Attack x1 and Critical Rate & Penetration Rate+10% & Slow Resist+50%;Storyteller's Ballad+;[Allies] Null P.Attack and M.Attack x1 and Critical Rate & Penetration Rate+15% & Slow Resist+75%;Storyteller's Ballad++;[Allies] Null P.Attack and M.Attack x1 and Critical Rate & Penetration Rate+20% & Slow Resist+100%
629;The Witch Council;[Allies] Status Debuff-1 turn and [Self] +2 Instant Effect (When attacked, 75% Sleep on a Foe, up to twice per turn);The Witch Council+;[Allies] Status Debuff-2 turns and [Self] +3 Instant Effect (When attacked, 75% Sleep on a Foe, up to twice per turn);The Witch Council++;[Allies] Status Debuff-3 turns and [Self] +4 Instant Effect (When attacked, 75% Sleep on a Foe, up to twice per turn)
630;April 10th;[Foes] Dmg. received (Attack Type: All and Single Targets)+10% and [Allies] Penetration Rate+10%;April 10th+;[Foes] Dmg. received (Attack Type: All and Single Targets)+15% and [Allies] Penetration Rate+15%;April 10th++;[Foes] Dmg. received (Attack Type: All and Single Targets)+20% and [Allies] Penetration Rate+20%
631;Haniel;[Foes] Water Resist & Dark Resist-5% and [Allies] Str. & Mag.+6%;Haniel+;[Foes] Water Resist & Dark Resist-10% and [Allies] Str. & Mag.+8%;Haniel++;[Foes] Water Resist & Dark Resist-15% and [Allies] Str. & Mag.+10%
633;Idealized Stage;[Foes] Light Resist & Thunder Resist-10% & [Self] Penetration Rate+10% and +2 Instant Effect (When attacked, Lo Light P.Attack and Str. & Mag.-40% a Foe/2 turns, twice per turn);Idealized Stage+;[Foes] Light Resist & Thunder Resist-15% & [Self] Penetration Rate+20% and +3 Instant Effect (When attacked, Lo Light P.Attack and Str. & Mag.-40% a Foe/2 turns, twice per turn);Idealized Stage++;[Foes] Light Resist & Thunder Resist-20% & [Self] Penetration Rate+30% and +4 Instant Effect (When attacked, Lo Light P.Attack and Str. & Mag.-40% a Foe/2 turns, twice per turn)
638;Full-strength Flash;[Foes] M.Resist-10% & Str. & Mag.-5%;Full-strength Flash+;[Foes] M.Resist-17% & Str. & Mag.-10%;Full-strength Flash++;[Foes] M.Resist-25% & Str. & Mag.-15%
639;Abnormal Will;[Allies] Dmg. received (Attack Type: All and Single Targets)-5% & Heal & Guard Rate+5%;Abnormal Will+;[Allies] Dmg. received (Attack Type: All and Single Targets)-12% & Heal & Guard Rate+10%;Abnormal Will++;[Allies] Dmg. received (Attack Type: All and Single Targets)-20% & Heal & Guard Rate+15%
642;The Concept [Time];[Allies] Wind Attack Dmg. & M.Resist+10% and 10% HP Regen & 10 MP Regen/turn;The Concept [Time]+;[Allies] Wind Attack Dmg. & M.Resist+15% and 20% HP Regen & 15 MP Regen/turn;The Concept [Time]++;[Allies] Wind Attack Dmg. & M.Resist+20% and 30% HP Regen & 20 MP Regen/turn
644;The Goddess and Her Way of Life;[Allies] P.Resist, M.Resist, Fire, Water, Thunder, Earth, Wind, Light, & Dark Resist Debuff-2 turns and [Self] Instant Effect+1 (When attacked, 30% HP Heal on Allies, once per turn);The Goddess and Her Way of Life+;[Allies] P.Resist, M.Resist, Fire, Water, Thunder, Earth, Wind, Light, & Dark Resist Debuff-3 turns and [Self] Instant Effect+2 (When attacked, 40% HP Heal on Allies, once per turn);The Goddess and Her Way of Life++;[Allies] P.Resist, M.Resist, Fire, Water, Thunder, Earth, Wind, Light, & Dark Resist Debuff-4 turns and [Self] Instant Effect+3 (When attacked, 50% HP Heal on Allies, once per turn)
647;Parting Light;[Allies] Agi., Dex., & End.+5% and [Self] +1 Instant Effect (When attacked, increase S.A Gauge Charge gain by 11% & Dex. & End.+10%/4 turns on Allies, once per turn);Parting Light+;[Allies] Agi., Dex., & End.+10% and [Self] +1 Instant Effect (When attacked, increase S.A Gauge Charge gain by 22% & Dex. & End.+15%/4 turns on Allies, once per turn);Parting Light++;[Allies] Agi., Dex., & End.+15% and [Self] +1 Instant Effect (When attacked, increase S.A Gauge Charge gain by 33% & Dex. & End.+20%/4 turns on Allies, once per turn)
648;Forget-me-not Feelings;[Foes] Earth Resist & Guard Rate-10% and [Allies] Poison Resist+50%;Forget-me-not Feelings+;[Foes] Earth Resist & Guard Rate-15% and [Allies] Poison Resist+75%;Forget-me-not Feelings++;[Foes] Earth Resist & Guard Rate-20% and [Allies] Poison Resist+100%
650;Executioner Priestess Sword;[Self] Str., Penetration Rate, Fire Attack Dmg., Wind Attack Dmg.+10%;Executioner Priestess Sword+;[Self] Str. & Penetration Rate+17% & Fire Attack Dmg. & Wind Attack Dmg.+15%;Executioner Priestess Sword++;[Self] Str. & Penetration Rate+25% & Fire Attack Dmg. & Wind Attack Dmg.+20%
658;Knight's Song;[Foes] Agi.-5% & Penetration Rate-10% and [Self] +1 Instant Effect (When attacked, P.Resist & M.Resist+30%/1 turn and 40% HP Heal on Self, once per turn);Knight's Song+;[Foes] Agi.-12% & Penetration Rate-20% and [Self] +2 Instant Effect (When attacked, P.Resist & M.Resist+40%/1 turn and 60% HP Heal on Self, once per turn);Knight's Song++;[Foes] Agi.-20% & Penetration Rate-30% and [Self] +3 Instant Effect (When attacked, P.Resist & M.Resist+50%/1 turn and 80% HP Heal on Self, once per turn)
659;Kitty Waltz;[Foes] Dmg. received (Attack Type: Single Target)+10% & Critical Rate-10% and [Allies] Str., Mag., Agi., Dex., & End.+6%;Kitty Waltz+;[Foes] Dmg. received (Attack Type: Single Target)+17% & Critical Rate-17% and [Allies] Str., Mag., Agi., Dex., & End.+8%;Kitty Waltz++;[Foes] Dmg. received (Attack Type: Single Target)+25% & Critical Rate-25% and [Allies] Str., Mag., Agi., Dex., & End.+10%
661;Anniversary Memories;[Allies] Null Ailment x1 and [Foes] Dmg. received (Attack Type: All Targets)+10%;Anniversary Memories+;[Allies] Null Ailment x2 and [Foes] Dmg. received (Attack Type: All Targets)+15%;Anniversary Memories++;[Allies] Null Ailment x4 and [Foes] Dmg. received (Attack Type: All Targets)+20%
664;Feline Nocturne;[Allies] Str.+10% & Counter Rate+5%;Feline Nocturne+;[Allies] Str.+17% & Counter Rate+10%;Feline Nocturne++;[Allies] Str.+25% & Counter Rate+15%
671;Oath of the Queen;[Allies] Light Attack Dmg., Earth Attack Dmg., & Guard Rate+10% and [Self] Str. & Mag.+10%;Oath of the Queen+;[Allies] Light Attack Dmg. & Earth Attack Dmg.+17% & Guard Rate+15% and [Self] Str. & Mag.+15%;Oath of the Queen++;[Allies] Light Attack Dmg. & Earth Attack Dmg.+25% & Guard Rate+20% and [Self] Str. & Mag.+20%
672;Heroic Protection Fang;[Allies] Agi. & Critical Rate+5% and [Self] Str. & Agi.+10% and +2 Instant Effect (When attacked, Str. & Mag.-20%/1 turn and removes P.Resist Buffs on a Foe, twice per turn);Heroic Protection Fang+;[Allies] Agi. & Critical Rate+10% and [Self] Str. & Agi.+15% and +3 Instant Effect (When attacked, Str. & Mag.-30%/1 turn and removes P.Resist Buffs on a Foe, twice per turn);Heroic Protection Fang++;[Allies] Agi. & Critical Rate+15% and [Self] Str. & Agi.+20% and +4 Instant Effect (When attacked, Str. & Mag.-40%/1 turn and removes P.Resist Buffs on a Foe, twice per turn)
674;Siren's Song;[Allies] 10% HP Regen/turn & Seal Resist+50% and [Self] +1 Instant Effect (When attacked, avoids K.O x1 only when HP≧10% (removed when HP<10%) on Self, once per turn);Siren's Song+;[Allies] 20% HP Regen/turn & Seal Resist+75% and [Self] +1 Instant Effect (When attacked, avoids K.O x1 only when HP≧10% (removed when HP<10%) on Self, once per turn);Siren's Song++;[Allies] 30% HP Regen/turn & Seal Resist+100% and [Self] +1 Instant Effect (When attacked, avoids K.O x1 only when HP≧10% (removed when HP<10%) on Allies, once per turn)
681;Yelping Assistant;[Foes] Str. & Mag.-10% and [Self] +1 Instant Effect (When physically attacked, 20% HP Heal and removes P.Resist Debuffs on Allies, once per turn);Yelping Assistant+;[Foes] Str. & Mag.-17% and [Self] +2 Instant Effect (When physically attacked, 30% HP Heal and removes P.Resist Debuffs on Allies, once per turn);Yelping Assistant++;[Foes] Str. & Mag.-25% and [Self] +3 Instant Effect (When physically attacked, 40% HP Heal and removes P.Resist Debuffs on Allies, once per turn)
682;Exciting Girls Party;[Allies] Mag.+10% & Penetration Rate+5%;Exciting Girls Party+;[Allies] Mag.+17% & Penetration Rate+10%;Exciting Girls Party++;[Allies] Mag.+25% & Penetration Rate+15%
683;Burning Flame Deathcross;[Foes] Earth Resist & Thunder Resist-5% and [Self] Critical Rate & Penetration Rate+10%;Burning Flame Deathcross+;[Foes] Earth Resist & Thunder Resist-10% and [Self] Critical Rate & Penetration Rate+15%;Burning Flame Deathcross++;[Foes] Earth Resist & Thunder Resist-15% and [Self] Critical Rate & Penetration Rate+20%
684;Resistance Premonition;[Allies] P.Resist & M.Resist+10% and [Self] +2 Instant Effect (When attacked, Lo Water M.Attack a Foe, twice per turn);Resistance Premonition+;[Allies] P.Resist & M.Resist+15% and [Self] +3 Instant Effect (When attacked, Lo Water M.Attack a Foe, twice per turn);Resistance Premonition++;[Allies] P.Resist & M.Resist+20% and [Self] +4 Instant Effect (When attacked, Lo Water M.Attack a Foe, twice per turn)
688;Guardian Arrow;[Self] Null P.Attack x1 and [Allies] Status Buff+1 turn;Guardian Arrow+;[Allies] Null P.Attack x1 and Status Buff+2 turns;Guardian Arrow++;[Allies] Null P.Attack x2 and Status Buff+3 turns
689;Calamity Resistance;[Foes] P.Resist-10% and [Allies] Fire Attack Dmg.+10%;Calamity Resistance+;[Foes] P.Resist-17% and [Allies] Fire Attack Dmg.+17%;Calamity Resistance++;[Foes] P.Resist-25% and [Allies] Fire Attack Dmg.+25%
693;Braver's Instruction;[Foes] Wind Resist & Fire Resist-10%;Braver's Instruction+;[Foes] Wind Resist & Fire Resist-17%;Braver's Instruction++;[Foes] Wind Resist & Fire Resist-25%
701;Rabbit in Wonderland;[Allies] Status Debuff-1 turn and [Self] +2 Instant Effect (When attacked, removes Str. & Mag. Buffs a Foe, up to twice per turn);Rabbit in Wonderland+;[Allies] Status Debuff-2 turns and [Self] +3 Instant Effect (When attacked, removes Str. & Mag. Buffs a Foe, up to twice per turn);Rabbit in Wonderland++;[Allies] Status Debuff-3 turns and [Self] +4 Instant Effect (When attacked, removes Str. & Mag. Buffs a Foe, up to twice per turn)
702;Mad Hatter's Riddle;[Foes] Dmg. received (Attack Type: All Targets & Single Target)+10% & Guard Rate-10%;Mad Hatter's Riddle+;[Foes] Dmg. received (Attack Type: All Targets & Single Target)+15% & Guard Rate-15%;Mad Hatter's Riddle++;[Foes] Dmg. received (Attack Type: All Targets & Single Target)+20% & Guard Rate-20%
709;Holy Night's Heartful Gift;[Allies] Str. & Mag.+10% and [Self] +1 Instant Effect (When attacked, Dmg. received (Attack Type: All Targets)-25% & 25% HP Regen/1 turn on Allies, once per turn);Holy Night's Heartful Gift+;[Allies] Str. & Mag.+15% and [Self] +2 Instant Effect (When attacked, Dmg. received (Attack Type: All Targets)-30% & 30% HP Regen/1 turn on Allies, once per turn);Holy Night's Heartful Gift++;[Allies] Str. & Mag.+20% and [Self] +3 Instant Effect (When attacked, Dmg. received (Attack Type: All Targets)-35% & 35% HP Regen/1 turn on Allies, once per turn)
710;Starry Sky Advisor;[Foes] Water Resist & Penetration Rate-10% and [Allies] Thunder Attack Dmg.+10%;Starry Sky Advisor+;[Foes] Water Resist & Penetration Rate-17% and [Allies] Thunder Attack Dmg.+17%;Starry Sky Advisor++;[Foes] Water Resist & Penetration Rate-25% and [Allies] Thunder Attack Dmg.+25%
711;Stars' Memories;[Allies] Null Ailment x1 and P.Resist & M.Resist+5% and Fire, Water, Thunder, Earth, Wind, Light, & Dark Attack Dmg.+5%;Stars' Memories+;[Allies] Null Ailment x2 and P.Resist & M.Resist+10% and Fire, Water, Thunder, Earth, Wind, Light, & Dark Attack Dmg.+10%;Stars' Memories++;[Allies] Null Ailment x4 and P.Resist & M.Resist+15% and Fire, Water, Thunder, Earth, Wind, Light, & Dark Attack Dmg.+15%
712;Godly Affection;[Foes] Guard Rate, Counter Rate, & Heal-10% and [Self] +1 Instant Effect (When magically attacked, Null M.Attack x1 and removes Str. Debuffs on Allies, once per turn);Godly Affection+;[Foes] Guard Rate, Counter Rate, & Heal-20% and [Self] +2 Instant Effect (When magically attacked, Null M.Attack x1 and removes Str. Debuffs on Allies, once per turn);Godly Affection++;[Foes] Guard Rate, Counter Rate, & Heal-30% and [Self] +3 Instant Effect (When magically attacked, Null M.Attack x1 and removes Str. Debuffs on Allies, once per turn)
719;Girls'Adventure;[Foes]Str.&Mag.-10%and[Self]+1InstantEffect(Whenmagicallyattacked,20%HPHealandremovesM.ResistDebuffsonAllies,onceperturn);Girls'Adventure+;[Foes]Str.&Mag.-17%and[Self]+2InstantEffect(Whenmagicallyattacked,30%HPHealandremovesM.ResistDebuffsonAllies,onceperturn);Girls'Adventure++;[Foes]Str.&Mag.-25%and[Self]+3InstantEffect(Whenmagicallyattacked,40%HPHealandremovesM.ResistDebuffsonAllies,onceperturn)
720;SchwarzeKatz;[Allies]Agi.+10%and[Foes]Dmg.received(AttackType:All&SingleTargets)+5%;SchwarzeKatz+;[Allies]Agi.+15%and[Foes]Dmg.received(AttackType:All&SingleTargets)+10%;SchwarzeKatz++;[Allies]Agi.+20%and[Foes]Dmg.received(AttackType:All&SingleTargets)+15%
721;CuetheMusic!!!;[Foes]LightResist-5%and[Allies]Str.&Mag.+5%;CuetheMusic!!!+;[Foes]LightResist-10%and[Allies]Str.&Mag.+10%;CuetheMusic!!!++;[Foes]LightResist-15%and[Allies]Str.&Mag.+15%
723;Binding Light;[Self] Ailment Resist+50% and Str., Mag., End., Dex., & Agi.+10% and +1 Instant Effect (When attacked, Str. & Mag.-40%/2 turns on Foes, once per turn);Binding Light+;[Self] Ailment Resist+75% and Str., Mag., End., Dex., & Agi.+15% and +2 Instant Effect (When attacked, Str. & Mag.-40%/2 turns on Foes, once per turn);Binding Light++;[Self] Ailment Resist+100% and Str., Mag., End., Dex., & Agi.+20% and +3 Instant Effect (When attacked, Str. & Mag.-40%/2 turns on Foes, once per turn)
724;Feelings I'll Never Give Up;[Foes] 20% Stun and [Self] +2 Instant Effect (When attacked, 75% Stun a Foe, up to twice per turn);Feelings I'll Never Give Up+;[Foes] 35% Stun and [Self] +3 Instant Effect (When attacked, 75% Stun a Foe, up to twice per turn);Feelings I'll Never Give Up++;[Foes] 50% Stun and [Self] +4 Instant Effect (When attacked, 75% Stun a Foe, up to twice per turn)
727;Instinctive Support;[Self] Null M.Attack x1 and [Allies] Status Buff+1 turn;Instinctive Support+;[Allies] Null M.Attack x1 and Status Buff+2 turns;Instinctive Support++;[Allies] Null M.Attack x2 and Status Buff+3 turns
733;Merciful Oath;[Allies] Status Debuff-1 turn and 30% HP Heal and [Self] +1 Instant Effect (When attacked, Dmg. received (Attack Type: All & Single Targets)-40%/1 turn and avoids K.O x1 only when HP≧10% (removed when HP<10%) on Self, once per turn);Merciful Oath+;[Allies] Status Debuff-2 turns and 40% HP Heal and [Self] +1 Instant Effect (When attacked, Dmg. received (Attack Type: All & Single Targets)-50%/1 turn and avoids K.O x1 only when HP≧10% (removed when HP<10%) on Self, once per turn);Merciful Oath++;[Allies] Status Debuff-3 turns and 50% HP Heal and [Self] +1 Instant Effect (When attacked, Dmg. received (Attack Type: All & Single Targets)-60%/1 turn and avoids K.O x1 only when HP≧10% (removed when HP<10%) on Self, once per turn)
734;Tactical Support;[Allies] Agi. & Penetration Rate+5% and [Self] Mag. & Agi.+10% and +2 Instant Effect (When attacked, Str. & Mag.-20%/1 turn and removes M.Resist Buffs on a Foe, twice per turn);Tactical Support+;[Allies] Agi. & Penetration Rate+10% and [Self] Mag. & Agi.+15% and +3 Instant Effect (When attacked, Str. & Mag.-30%/1 turn and removes M.Resist Buffs on a Foe, twice per turn);Tactical Support++;[Allies] Agi. & Penetration Rate+15% and [Self] Mag. & Agi.+20% and +4 Instant Effect (When attacked, Str. & Mag.-40%/1 turn and removes M.Resist Buffs on a Foe, twice per turn)
736;Twilight Road;[Foes] Dmg. received (Attack Type: All Targets)+10% and [Allies] Penetration Rate+10%;Twilight Road+;[Foes] Dmg. received (Attack Type: All Targets)+17% and [Allies] Penetration Rate+20%;Twilight Road++;[Foes] Dmg. received (Attack Type: All Targets)+25% and [Allies] Penetration Rate+30%
738;Hope Light;[Foes] M.Resist-10% and [Allies] Wind Attack Dmg.+10%;Hope Light+;[Foes] M.Resist-17% and [Allies] Wind Attack Dmg.+17%;Hope Light++;[Foes] M.Resist-25% and [Allies] Wind Attack Dmg.+25%
743;Rallying Force;[Foes] Dark Resist-10% & [Self] Critical Rate+10% and +2 Instant Effect (When attacked, Lo Dark M.Attack and Str. & Mag.-40%/2 turns a Foe, twice per turn);Rallying Force+;[Foes] Dark Resist-17% & [Self] Critical Rate+20% and +3 Instant Effect (When attacked, Lo Dark M.Attack and Str. & Mag.-40%/2 turns a Foe, twice per turn);Rallying Force++;[Foes] Dark Resist-25% & [Self] Critical Rate+30% and +4 Instant Effect (When attacked, Lo Dark M.Attack and Str. & Mag.-40%/2 turns a Foe, twice per turn)
744;Shiny World;[Self] +2 Instant Effect (When attacked, 50% Stun a Foe, twice per turn);Shiny World+;[Self] +3 Instant Effect (When attacked, 50% Stun a Foe, twice per turn);Shiny World++;[Self] +4 Instant Effect (When attacked, 50% Stun a Foe, twice per turn)
750;Song of Sanctuary;[Foes] Thunder Resist & Penetration Rate-10% and [Allies] End., P.Resist, & M.Resist +5% and 10 MP Heal/turn;Song of Sanctuary+;[Foes] Thunder Resist & Penetration Rate-17% and [Allies] End., P.Resist, & M.Resist +10% and 15 MP Heal/turn;Song of Sanctuary++;[Foes] Thunder Resist & Penetration Rate-25% and [Allies] End., P.Resist, & M.Resist +15% and 20 MP Heal/turn